Slot,time,Set1.csv,Set2.csv,Set3.csv,Set4.csv,Set5.csv,Total,Tesse,Socio
35,174.89516343121852,0.9337564054302842,0.7848619151641147,18.23929233505037,3.519282561688351,0.9506569358180396,24.427850153151155,6.188557818100789,2.6692752564124382
36,179.91670891036296,0.91946097023579,0.7866944774603309,17.751846739513752,3.567297666778944,0.9495066050686922,23.974806459057508,6.222959719543757,2.6556620527648134
37,185.38476359391436,0.9074965127702136,0.7818464250485325,17.35498414057121,3.5726631986545594,0.9362388811580254,23.553229158202544,6.19824501763133,2.6255818189767717
38,189.92600382403123,0.8977094150308698,0.7765573820809853,17.031595928685114,3.535607221769446,0.9323230190338776,23.173792966600292,6.142197037915179,2.606589816145733
39,194.77427486699312,0.8916344304388516,0.7814789595730587,17.041621958374854,3.5002081796034337,0.9449225086298132,23.15986603662001,6.118244078245157,2.6180358986417236
40,199.7306226149456,0.8975349248344952,0.7791818671911807,16.861068715862668,3.5238265243462146,0.950268580630524,23.011880612865085,6.150811897002415,2.6269853726561996
41,204.01798649971016,0.8871332929820105,0.7754085856774163,16.701912041542357,3.524672062373675,0.9474794672095224,22.83660544978498,6.134693408242624,2.610021345868949
42,209.73328753868853,0.8843302257339084,0.7762758720120326,16.411611228148853,3.510343771514062,0.9386580648090296,22.521219162217886,6.109607934069032,2.5992641625549706
43,214.7744452545642,0.8761463488068151,0.7861678454345383,15.937492268535523,3.5155761411105826,0.9280628646296152,22.043445468517074,6.105953199981551,2.5903770588709687
44,219.96761470450733,0.8762680027634392,0.7838291458198646,15.99386303843567,3.518764383764389,0.9212749122306167,22.09399948301398,6.100136444578309,2.5813720608139206
45,225.0764978873523,0.8693451984269935,0.7878822124652444,15.96135922139212,3.5090951598982687,0.9201340235603946,22.04781581574302,6.086456594350901,2.5773614344526323
46,229.9837303332951,0.8653956927494567,0.7887339095098705,15.96675661885091,3.504290943789943,0.9214749596535656,22.046652124553745,6.079895505702836,2.575604561912893
47,234.2323485534742,0.8656718000055861,0.7815915205842885,16.006189275784727,3.4875662998996453,0.9164804116603468,22.057499307934595,6.051310032149867,2.5637437322502215
48,239.85576187670372,0.8663129489381192,0.7815027284053417,15.840850379190645,3.460704987651824,0.9176757087020132,21.867046752887944,6.0261963736972985,2.565491386045474
49,243.67821994562655,0.8636610714606928,0.7825335793145893,15.9031088012077,3.448779570093192,0.9145705331113764,21.91265355518755,6.009544753979851,2.5607651838866583
50,250.0915916275541,0.8678059956945875,0.7811123773979307,15.659418742211294,3.452896216857232,0.9195487592602084,21.680782091421253,6.021363349209959,2.5684671323527266
51,254.8499372410292,0.8629460530217484,0.7829946333495049,15.502203616526604,3.4641456601300624,0.924162454223599,21.536452417251517,6.034248800724915,2.5701031405948522
52,259.47795263308376,0.8614043538660429,0.7812730560085751,15.338080407996928,3.448185633263654,0.9304613861929064,21.359404837328107,6.0213244293311785,2.5731387960675245
53,264.46523787520897,0.8598543711922665,0.781708228386389,15.08494088970822,3.456763687385071,0.9286701191603514,21.1119372958323,6.026996406124078,2.570232718739007
54,269.1252360227706,0.8770373660558588,0.7855270015202835,15.057403175790183,3.4380789104871736,0.9357314704489494,21.09377792430245,6.036374748512266,2.598295838025092
55,274.95670134289827,0.895657348925356,0.7844248638116769,14.809963776404322,3.444598043174252,0.931498347839686,20.866142380155292,6.056178603750971,2.611580560576719
56,278.8788648144978,0.8901706481352479,0.7794017533302725,14.68537192833102,3.443928979476459,0.9339488253463696,20.73282213461937,6.0474502062883495,2.60352122681189
57,284.6207351492398,0.8907394270943584,0.7796612840923132,14.544242230311651,3.448904706751382,0.9326572842816548,20.596204932531357,6.051962702219709,2.6030579954683266
58,290.0332218116107,0.8822119706617617,0.776094914394952,14.409639441474974,3.4604178017016576,0.9341798949765544,20.462544023209905,6.052904581734926,2.5924867800332683
59,294.7258471105856,0.8730680924283724,0.7751544168201111,14.280369307357985,3.464333102551737,0.9369730452810188,20.329897964439223,6.04952865708124,2.585195554529502
60,300.04185115832183,0.867738250091517,0.7728837699570186,14.111345041883292,3.462055453013952,0.9448852827353432,20.15890779768112,6.047562755797831,2.5855073027838786
61,305.1387568762724,0.8643258954877894,0.7737606978911339,14.050642666011957,3.457408117094793,0.9439593712973,20.090096747782972,6.039454081771016,2.5820459646762233
62,309.51796224089617,0.8584346104794366,0.7696482677630847,13.851737666831022,3.465181707491507,0.9481060203007012,19.893108272865753,6.041370606034729,2.5761888985432226
63,314.8796774752672,0.8580613389243517,0.7693359819920306,13.834038774356705,3.459162717829745,0.9537870168761804,19.874385829979012,6.040347055622307,2.5811843377925623
64,319.9244579402417,0.8574510824231671,0.7717333318605817,13.657989022121155,3.44056954053989,0.94656095146484,19.674303928409635,6.016314906288479,2.5757453657485887
65,324.12433857551963,0.8662278268067379,0.7717042992509573,13.536002098850714,3.447498572515708,0.9509977489251216,19.57243054634924,6.036428447498524,2.5889298749828167
