Slot,time,completations,s,d,w,l,q,x,a,c,u
5,24.82754691571561,18,2.897604339461643,0.3053662461964606,3.2029705856581034,2.3221573495588377,0.2213908788571052,0.5251916176754332,23.425007760671953,23.425007760671953,0.7792295805615398
6,30.12896230116218,24,2.899011060331269,0.2455426119666396,3.1445536722979086,2.504875122507578,0.19559328423906705,0.5773204595671277,29.40410626847799,29.40410626847799,0.7930203885514364
7,33.88190833504151,28,2.922671390503292,0.21632085986736888,3.1389922503706607,2.594062357446338,0.17876750082645274,0.6038237141549714,35.00526403041101,35.00526403041101,0.7974973374253106
8,39.32052024187687,37,2.790908109723532,0.32426834831699036,3.115176458040523,2.93133275547927,0.30513148895091907,0.6565503166320876,36.76321633617886,36.76321633617886,0.8230439819221184
9,44.86943510886596,41,2.798485110329104,0.29263241189582057,3.091117522224925,2.8245467789760434,0.2673964773262304,0.6392875754124531,44.61826986571708,44.61826986571708,0.7919477697845199
10,49.555442770635736,42,2.928143687917999,0.30584442566754183,3.2339881135855415,2.740919930818938,0.25921402695343054,0.6204264759663767,49.555442770635736,49.555442770635736,0.7834904391847524
11,53.808351110796025,47,2.9785886862382367,0.4716128479853529,3.4502015342235888,3.013648787984757,0.4119398457252535,0.6504272355648759,53.808351110796025,53.808351110796025,0.8214384341116142
12,59.85287437505873,55,2.851390420266084,0.4599441361007237,3.3113345563668077,3.0428513668186836,0.42265184002727324,0.6550498816978525,60.13615373751346,60.13615373751346,0.8160186127324509
13,64.887656214605,60,2.9028280259724513,0.43082955214210206,3.333657578114553,3.0825501544599256,0.39837735921655654,0.6710431988108422,64.07922445980718,64.07922445980718,0.7856246090657062
14,69.77739999157909,65,2.9487729113074614,0.42321252447135643,3.3719854357788184,3.1411180891244768,0.3942367312906185,0.6867203394584644,69.01032356315253,69.01032356315253,0.831521989434434
15,73.7448857043871,69,2.8915954154027155,0.39867846508171256,3.290273880484429,3.078571423427124,0.3730267370799066,0.6763861715868043,73.7448857043871,73.7448857043871,0.8195351674829323
16,79.59517395198378,75,2.9294078948394544,0.3892398964307771,3.318647791270233,3.1270562269945774,0.36676837027731246,0.6900719641793159,80.34804436555883,80.34804436555883,0.814948613850269
17,84.5329919158453,80,2.8877508983715194,0.36491240290385357,3.2526633012753736,3.078242686134645,0.34534436284203257,0.6832245808231531,84.5329919158453,84.5329919158453,0.8441844628583743
18,89.09126715991518,85,2.882588327194419,0.343446967438921,3.2260352946333404,3.0778886504289225,0.3276751264510365,0.6875533809944714,88.62127856022245,88.62127856022245,0.8339711862787921
19,94.67838910964191,87,2.899701546027214,0.3355516348541182,3.2352531808813327,2.9728751131446085,0.3083384973787573,0.6661341539414626,94.67838910964191,94.67838910964191,0.8324342805542697
20,100.68415970824469,93,2.9709367408470837,0.49805075275036514,3.468987493597448,3.204236275491752,0.4600397931512068,0.6860491205851363,99.97208996762721,99.97208996762721,0.8208695498671194
21,104.75769703449728,97,3.0164048062246303,0.5430655488875293,3.55947035511216,3.295878338487917,0.5028495254601044,0.6982572032569531,104.75769703449728,104.75769703449728,0.8203892673404756
22,109.41990288873653,104,2.9882974877947106,0.5449933044172118,3.5332907922119223,3.358276078564001,0.5179981170064124,0.7100694903893972,109.41990288873653,109.41990288873653,0.8526874822565905
23,114.61448166054792,108,2.9715788475593716,0.5248083672165743,3.4963872147759463,3.294608270481594,0.4945213103807974,0.7000217400251991,114.61448166054792,114.61448166054792,0.8494777516352674
24,120.19396287455439,113,2.9711158173018033,0.5015867580476994,3.4727025753495027,3.2648510925965146,0.4715653124653676,0.6983214450327868,119.48420681461667,119.48420681461667,0.8472361098439037
25,124.65085543120841,118,2.979921915838113,0.4846976851492309,3.4646196009873447,3.27976179146341,0.45883621616358117,0.7052313938249571,124.65085543120841,124.65085543120841,0.8381680662421441
26,129.98484564339122,125,2.981096391081471,0.47829676879767474,3.4593931598791463,3.326727379984229,0.4599543570158409,0.7166932557420969,129.73186054159214,129.73186054159214,0.8512365916686577
27,134.4834272460239,131,2.981918895387134,0.49299408143282264,3.474912976819958,3.384904811584308,0.48022441121725046,0.7261701000917641,135.0957456114853,135.0957456114853,0.8466217877432024
28,139.17140447203627,137,2.97622174875937,0.4850811357683378,3.4613028845277087,3.407298338183954,0.4775127178774381,0.7324464050766287,138.81335740743773,138.81335740743773,0.8363523952401551
29,144.17893924059965,142,2.988954607972511,0.5033394788262724,3.4922940867987853,3.439515944127465,0.4957326386904372,0.7359458263592565,143.16152509059478,143.16152509059478,0.8613691817891792
30,149.98015683510275,147,3.0078644982467235,0.4886156844462001,3.4964801826929257,3.4270039297329418,0.47890672425794184,0.7370243013687496,149.98015683510275,149.98015683510275,0.8542473883230777
31,154.79069260541945,152,3.0198370140919577,0.48373824195739346,3.5035752560493525,3.4404099494342364,0.475017015170003,0.7413482335660581,155.28621630603138,155.28621630603138,0.851102231388133
32,159.84678261366903,157,3.0493252386902165,0.4951371078301631,3.544462346520381,3.4813374364165233,0.48631899033723874,0.7487546115198208,159.84678261366903,159.84678261366903,0.8414505363000507
33,164.84946967708086,165,3.022756428654614,0.5187639255439555,3.5415203541985703,3.54475425118099,0.5192376286221874,0.7563791556397005,165.0251059167483,165.0251059167483,0.8598310554731526
34,169.77742284719235,172,3.0143408337701003,0.5699842803067853,3.584325114076888,3.6312479556018897,0.5774460147213168,0.7634504852201426,168.13518657636305,168.13518657636305,0.849413143006098
35,174.82101291139585,177,3.038947832415962,0.6237167444997125,3.662664576915676,3.708316404977283,0.6314908141643236,0.7692063977032394,173.68916782864918,173.68916782864918,0.8578401618020621
36,179.92429582533208,184,3.034276619529186,0.6471880941592789,3.6814647136884657,3.764858460117458,0.6618484111835069,0.7757525122334875,179.92429582533208,179.92429582533208,0.8770631296723342
